,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Interior,ROI_coordinates,Distance_px,Distance_cm
27,behaviour.mp4,99.5,True,0.9,100.0,0.0,27,107.83704023998054,285.7491824987163,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",3.935500741694125,0.5898908041495636
28,behaviour.mp4,99.5,True,0.9,100.0,0.0,28,109.98595129417552,282.90062043895375,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",3.568210269471262,0.5348377661153868
29,behaviour.mp4,99.5,True,0.9,100.0,0.0,29,112.16617528812651,277.0972393460198,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",6.199403904701052,0.929226442736693
30,behaviour.mp4,99.5,True,0.9,100.0,0.0,30,114.21073162747558,270.39453870914946,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",7.007596339136182,1.0503661188154494
31,behaviour.mp4,99.5,True,0.9,100.0,0.0,31,115.00497825432862,261.947783035641,True,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",8.484014917019806,1.2716659734799962
32,behaviour.mp4,99.5,True,0.9,100.0,0.0,32,117.74840003296069,252.8702172659104,True,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",9.483067191539739,1.4214135629952056
33,behaviour.mp4,99.5,True,0.9,100.0,0.0,33,121.99002837231083,244.93625871140125,True,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",8.996616548116705,1.3484996493506713
34,behaviour.mp4,99.5,True,0.9,100.0,0.0,34,125.55769594466808,238.74662956258612,True,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",7.14421170645939,1.0708433475542716
35,behaviour.mp4,99.5,True,0.9,100.0,0.0,35,127.56909486273445,231.781407991302,True,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",7.249830145919305,1.0866744578183272
36,behaviour.mp4,99.5,True,0.9,100.0,0.0,36,127.9570492070832,224.40864456110762,True,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",7.382963440984284,1.1066297599868522
